   Time:sec   Load:kgf  Stroke:mm     Spare1     Spare2
   ====================================================
    0.14500      1.328    0.04705    0.00000    0.00000
    0.29000      3.779    0.09556    0.00000    0.00000
    0.44000      5.483    0.14591    0.00000    0.00000
    0.58500      6.083    0.19279    0.00000    0.00000
    0.74000      6.342    0.24440    0.00000    0.00000
    0.89000      6.632    0.29553    0.00000    0.00000
    1.03000      6.867    0.34249    0.00000    0.00000
    1.17500      6.951    0.38950    0.00000    0.00000
    1.32000      7.568    0.43785    0.00000    0.00000
    1.50000      9.042    0.49777    0.00000    0.00000
    1.64500     11.059    0.54653    0.00000    0.00000
    1.78500     13.433    0.59341    0.00000    0.00000
    1.92500     15.909    0.64042    0.00000    0.00000
    2.10500     19.084    0.69948    0.00000    0.00000
    2.26000     21.650    0.75138    0.00000    0.00000
    2.40500     24.051    0.80063    0.00000    0.00000
    2.56000     26.374    0.85142    0.00000    0.00000
    2.70500     28.600    0.90071    0.00000    0.00000
    2.86000     30.816    0.95171    0.00000    0.00000
    3.01000     32.928    1.00230    0.00000    0.00000
    3.16000     34.953    1.05143    0.00000    0.00000
    3.31000     36.914    1.10242    0.00000    0.00000
    3.46500     38.807    1.15330    0.00000    0.00000
    3.61000     40.577    1.20230    0.00000    0.00000
    3.76500     42.377    1.25265    0.00000    0.00000
    3.91500     44.096    1.30357    0.00000    0.00000
    4.07500     45.847    1.35656    0.00000    0.00000
    4.22500     47.416    1.40630    0.00000    0.00000
    4.38000     49.018    1.45758    0.00000    0.00000
    4.53500     50.489    1.50960    0.00000    0.00000
    4.68500     51.902    1.55950    0.00000    0.00000
    4.84000     53.353    1.61123    0.00000    0.00000
    4.99000     54.700    1.66227    0.00000    0.00000
    5.14000     55.985    1.71217    0.00000    0.00000
    5.29000     57.189    1.76146    0.00000    0.00000
    5.44000     58.346    1.81128    0.00000    0.00000
    5.59500     59.436    1.86248    0.00000    0.00000
    5.74500     60.242    1.91242    0.00000    0.00000
    5.89500     59.392    1.96318    0.00000    0.00000
    6.04500     60.736    2.01246    0.00000    0.00000
    6.20000     62.125    2.06448    0.00000    0.00000
    6.34500     63.340    2.11344    0.00000    0.00000
    6.49500     64.472    2.16346    0.00000    0.00000
    6.64500     65.564    2.21418    0.00000    0.00000
    6.80500     66.648    2.26599    0.00000    0.00000
    6.95000     67.650    2.31540    0.00000    0.00000
    7.10000     68.596    2.36441    0.00000    0.00000
    7.25000     69.534    2.41430    0.00000    0.00000
    7.40000     70.405    2.46437    0.00000    0.00000
    7.55000     71.236    2.51439    0.00000    0.00000
    7.70000     72.039    2.56498    0.00000    0.00000
    7.84500     72.842    2.61398    0.00000    0.00000
    7.99500     73.633    2.66339    0.00000    0.00000
    8.15500     74.428    2.71602    0.00000    0.00000
    8.30500     75.170    2.76592    0.00000    0.00000
    8.45000     75.821    2.81500    0.00000    0.00000
    8.61000     76.527    2.86731    0.00000    0.00000
    8.75500     77.193    2.91586    0.00000    0.00000
    8.91000     77.863    2.96821    0.00000    0.00000
    9.06500     78.531    3.02022    0.00000    0.00000
    9.21000     79.132    3.06792    0.00000    0.00000
    9.36500     79.731    3.11986    0.00000    0.00000
    9.52500     80.328    3.17285    0.00000    0.00000
    9.66500     80.855    3.21998    0.00000    0.00000
    9.82000     81.424    3.27118    0.00000    0.00000
    9.97000     81.992    3.32080    0.00000    0.00000
   10.12000     82.505    3.37090    0.00000    0.00000
   10.27500     83.029    3.42390    0.00000    0.00000
   10.42000     83.495    3.47074    0.00000    0.00000
   10.57000     83.957    3.52215    0.00000    0.00000
   10.73000     84.442    3.57408    0.00000    0.00000
   10.87000     84.888    3.62174    0.00000    0.00000
   11.03000     85.373    3.67474    0.00000    0.00000
   11.17500     85.808    3.72284    0.00000    0.00000
   11.32500     86.218    3.77286    0.00000    0.00000
   11.48000     86.624    3.82472    0.00000    0.00000
   11.62000     86.980    3.87140    0.00000    0.00000
   11.78000     87.395    3.92444    0.00000    0.00000
   11.99500     87.972    3.99645    0.00000    0.00000
   12.23000     88.555    4.07474    0.00000    0.00000
   12.45000     89.054    4.14872    0.00000    0.00000
   12.68500     89.579    4.22570    0.00000    0.00000
   12.91000     90.076    4.30061    0.00000    0.00000
   13.13500     90.574    4.37561    0.00000    0.00000
   13.36000     91.008    4.45162    0.00000    0.00000
   13.58000     91.404    4.52522    0.00000    0.00000
   13.82000     91.862    4.60425    0.00000    0.00000
   14.04000     92.293    4.67749    0.00000    0.00000
   14.27500     92.711    4.75553    0.00000    0.00000
   14.49000     93.057    4.82824    0.00000    0.00000
   14.72000     93.434    4.90417    0.00000    0.00000
   14.95000     93.799    4.98051    0.00000    0.00000
   15.17000     94.153    5.05419    0.00000    0.00000
   15.40000     94.471    5.13216    0.00000    0.00000
   15.62000     94.761    5.20450    0.00000    0.00000
   15.85500     95.091    5.28312    0.00000    0.00000
   16.07000     95.394    5.35538    0.00000    0.00000
   16.30000     95.683    5.43139    0.00000    0.00000
   16.52500     95.917    5.50606    0.00000    0.00000
   16.75000     96.165    5.58097    0.00000    0.00000
   16.98000     96.435    5.65738    0.00000    0.00000
   17.21000     96.686    5.73400    0.00000    0.00000
   17.43500     96.897    5.80932    0.00000    0.00000
   17.66000     97.093    5.88435    0.00000    0.00000
   17.89000     97.322    5.96105    0.00000    0.00000
   18.10500     97.530    6.03328    0.00000    0.00000
   18.33500     97.718    6.11039    0.00000    0.00000
   18.56500     97.882    6.18599    0.00000    0.00000
   18.79000     98.053    6.26094    0.00000    0.00000
   19.02000     98.266    6.33731    0.00000    0.00000
   19.24000     98.413    6.41121    0.00000    0.00000
   19.47000     98.544    6.48787    0.00000    0.00000
   19.70500     98.685    6.56583    0.00000    0.00000
   19.92500     98.831    6.64009    0.00000    0.00000
   20.15000     98.987    6.71512    0.00000    0.00000
   20.38000     99.114    6.79109    0.00000    0.00000
   20.60000     99.205    6.86401    0.00000    0.00000
   20.82500     99.313    6.93904    0.00000    0.00000
   21.05500     99.447    7.01574    0.00000    0.00000
   21.28000     99.548    7.09069    0.00000    0.00000
   21.50500     99.630    7.16674    0.00000    0.00000
   21.73000     99.722    7.24063    0.00000    0.00000
   21.96000     99.822    7.31770    0.00000    0.00000
   22.18500     99.914    7.39306    0.00000    0.00000
   22.41000     99.982    7.46801    0.00000    0.00000
   22.64000    100.037    7.54463    0.00000    0.00000
   22.86000    100.109    7.61697    0.00000    0.00000
   23.09000    100.202    7.69392    0.00000    0.00000
   23.32000    100.253    7.77054    0.00000    0.00000
   23.54500    100.292    7.84553    0.00000    0.00000
   23.77500    100.331    7.92248    0.00000    0.00000
   24.00500    100.417    7.99885    0.00000    0.00000
   24.23000    100.470    8.07389    0.00000    0.00000
   24.46000    100.502    8.15055    0.00000    0.00000
   24.68000    100.532    8.22391    0.00000    0.00000
   24.90000    100.587    8.29853    0.00000    0.00000
   25.13000    100.642    8.37450    0.00000    0.00000
   25.35500    100.676    8.44888    0.00000    0.00000
   25.58500    100.686    8.52579    0.00000    0.00000
   25.81000    100.720    8.60139    0.00000    0.00000
   26.03500    100.749    8.67638    0.00000    0.00000
   26.26500    100.771    8.75264    0.00000    0.00000
   26.48500    100.785    8.82531    0.00000    0.00000
   26.71500    100.797    8.90229    0.00000    0.00000
   26.94500    100.808    8.97863    0.00000    0.00000
   27.17000    100.831    9.05362    0.00000    0.00000
   27.39500    100.857    9.12857    0.00000    0.00000
   27.61500    100.873    9.20222    0.00000    0.00000
   27.84500    100.880    9.27859    0.00000    0.00000
   28.07000    100.897    9.35424    0.00000    0.00000
   28.29500    100.918    9.42854    0.00000    0.00000
   28.52500    100.930    9.50626    0.00000    0.00000
   28.75500    100.933    9.58247    0.00000    0.00000
   28.97500    100.938    9.65551    0.00000    0.00000
   29.20500    100.951    9.73217    0.00000    0.00000
   29.43000    100.964    9.80708    0.00000    0.00000
   29.63000    100.970    9.87514    0.00000    0.00000
   29.82000    100.971    9.93808    0.00000    0.00000
   30.01000    100.974   10.00048    0.00000    0.00000
   30.20000    100.978   10.06350    0.00000    0.00000
   30.39000    100.984   10.12704    0.00000    0.00000
   30.58000    100.986   10.19042    0.00000    0.00000
   30.76500    100.986   10.25230    0.00000    0.00000
   30.95500    100.988   10.31601    0.00000    0.00000
   31.14000    100.990   10.37809    0.00000    0.00000
   31.33000    100.992   10.44131    0.00000    0.00000
   31.52000    100.993   10.50334    0.00000    0.00000
   31.71000    100.992   10.56701    0.00000    0.00000
   31.90000    100.991   10.63100    0.00000    0.00000
   32.08500    100.991   10.69231    0.00000    0.00000
